"","nct_id","name","FDA_Approved","title","description","full_text","url"
"1","NCT00090051","Chronic Lymphocytic Leukemia",TRUE,NA,"FDA granted approval to rituximab (Rituxan, Genentech), in combination with fludarabine and cyclophosphamide (FC), for the treatment of previously untreated and previously treated patients with chronic lymphocytic leukemia (CLL). More Information77 (February 18, 2010)","Rituximab
Share
Tweet
Linkedin
Pin it
More sharing options
Linkedin
Pin it
Email
Print

On February 18, 2010, the U.S. Food and Drug Administration granted approval to rituximab (Rituxan, Genentech), in combination with fludarabine and cyclophosphamide (FC), for the treatment of previously untreated and previously treated patients with chronic lymphocytic leukemia (CLL). The approval was based on a clinically meaningful and statistically significant increase in progression-free survival (PFS) observed in two randomized multicenter open-label trials in patients randomized to receive either FC or the combination of FC with rituximab (R-FC).

In both studies patients received intravenous (i.v.) fludarabine 25 mg/m2/day and cyclophosphamide 250 mg/m2/day, daily for 3 days, repeated every 28 days for a total of 6 cycles. Rituximab 375 mg/m2 by i.v. infusion was administered on day 1 of the first cycle (the day before chemotherapy) and 500 mg/m2 i.v. on day 1 of subsequent cycles (on the same day as chemotherapy). The primary efficacy outcome was PFS, defined as the time from randomization to either disease progression, relapse, or death. Secondary endpoints included overall survival (OS) and overall response rates determined by the 1996 National Cancer Institute-sponsored Working Group Guidelines. 

Study ML17102, also known as CLL8, was conducted by the German CLL Study Group and enrolled treatment-naïve patients. A total of 408 patients were randomized to the R-FC arm and 409 patients to the FC arm. The median age was 61 years (30% were ≥ 65 years old), 74% were male, 31% were Binet stage C, 45% had B symptoms, and more than 99% had ECOG performance status (PS) 0-1.

The primary efficacy endpoint was PFS as determined by the investigators. The median PFS were 39.8 months and 31.5 months in the R-FC and FC arms, respectively [HR 0.56 (95% CI: 0.43, 0.71), p <0.01, log rank test]. Overall response rates were 86% (95% CI 82, 89) in the R-FC arm and 73% (95% CI 68, 77) in the FC arm.

Study BO17072, also known as REACH, conducted by Roche and Biogen Idec, enrolled 552 patients with relapsed or refractory CLL following prior systemic therapy. Patients were randomized to receive either R-FC (n=276) or FC (n=276). The median age was 62 years old (44% ≥65 years old), and 67% were male. Eighty-two percent received a prior alkylator-containing regimen and 18% received a fludarabine-containing regimen. “B” symptoms were present in 28% and 100% were ECOG PS 0-1.

The median PFS was 26.7 versus 21.7 months for the R-FC and FC arms, respectively, as determined by an independent review committee [HR 0.76 (95% CI: 0.60, 0.96), p= 0.022, log-rank test]. Overall response rates were 54% (95% CI: 48, 60) in the R-FC arm and 45% (95% CI: 37, 51) in the FC arm. 

Too few events occurred at the time of regulatory submission to conduct a meaningful analysis of OS in either study. Follow-up of patients for OS is ongoing. 

Across both studies, 100 patients who received R-FC and 89 patients who received FC were ≥70 years old. The results of exploratory analyses in this elderly population did not suggest a treatment benefit for the addition of Rituxan to FC in either the previously untreated [HR 1.17 (95% CI: 0.51, 2.66)] or previously treated settings [HR 1.22 (95% CI: 0.73, 2.04)].

The safety of rituximab when combined with FC was assessed in 676 patients who received the R-FC regimen. In both studies, 71% received 6 cycles and 90% received at least 3 cycles of Rituxan-based therapy. Grade 3-4 infusion reactions occurred in 7-9% of R-FC treated patients. The following Grade 3-4 adverse events were more frequently observed in the R-FC arm compared to FC arm alone: neutropenia, febrile neutropenia, leukopenia thrombocytopenia, hypotension, hepatitis B, and pancytopenia.

Rituxan is approved as a single agent for the treatment of relapsed or refractory low-grade or follicular CD-20 positive non-Hodgkin’s lymphoma (NHL) and for the treatment of patients with non-progressing low-grade CD-20 positive NHL following first-line CVP chemotherapy, or in conduction with CVP for first-line treatment of previously untreated CD20, B-cell follicular NHL and in combination with CHOP or other anthracycline-based chemotherapy regimens for the treatment of previously untreated diffuse, large B-cell CD20 positive NHL.

Serious adverse reactions of Rituxan include fatal infusion reactions, tumor lysis syndrome, severe mucocutaneous reactions, and progressive multifocal leukoencephalopathy (PML). Adverse reactions occurring in more than 25% of Rituxan-treatment patients with lymphoid malignancies are infusion reactions, fever, lymphopenia, chills, infection, and asthenia.

Full prescribing information, including clinical trial information, safety, dosing, drug-drug interactions and contraindications is available at: http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/103705s5311lbl.pdf

Healthcare professionals should report all serious adverse events suspected to be associated with the use of any medicine and device to FDA’s MedWatch Reporting System by completing a form online at http://www.fda.gov/medwatch/report.htm, by faxing (1-800-FDA-0178) or mailing the postage-paid address form provided online, or by telephone (1-800-FDA-1088).","https://wayback.archive-it.org/7993/20170111231728/http://www.fda.gov/AboutFDA/CentersOffices/OfficeofMedicalProductsandTobacco/CDER/ucm201392.htm"
"2","NCT00540995","Adult Acute Myeloid Leukemia in Remission; Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Del(5q); Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(15;17)(q22;q12); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Childhood Acute Myeloid Leukemia in Remission; Recurrent Adult Acute Myeloid Leukemia; Recurrent Childhood Acute Myeloid Leukemia",FALSE,NA,NA,NA,NA
"3","NCT00593645","Acute Myeloid Leukemia",FALSE,NA,NA,NA,NA
"4","NCT00927498","Acute Myeloid Leukemia",TRUE,NA,"FDA approved gemtuzumab ozogamicin (Mylotarg, Pfizer Inc.) for the treatment of newly-diagnosed CD33-positive acute myeloid leukemia (AML) in adults and for treatment of relapsed or refractory CD33-positive AML in adults and in pediatric patients 2 years and older. Gemtuzumab ozogamicin may be used in combination with daunorubicin and cytarabine for adults with newly-diagnosed AML, or as a stand-alone treatment for certain adult and pediatric patients. More Information. September 1, 2017","FDA Approves Gemtuzumab Ozogamicin for CD33-positive AML
Share
Tweet
Linkedin
Email
Print

On September 1, 2017, the U.S. Food and Drug Administration approved gemtuzumab ozogamicin (Mylotarg, Pfizer Inc.) for the treatment of newly-diagnosed CD33-positive acute myeloid leukemia (AML) in adults and for treatment of relapsed or refractory CD33-positive AML in adults and in pediatric patients 2 years and older. Gemtuzumab ozogamicin may be used in combination with daunorubicin and cytarabine for adults with newly-diagnosed AML, or as a stand-alone treatment for certain adult and pediatric patients.

Approval of gemtuzumab ozogamicin in combination with chemotherapy for adults was based on ALFA-0701 (NCT00927498), a multicenter, randomized, open-label phase 3 study of 271 patients with newly-diagnosed, de novo AML aged 50 to 70 years. Patients were randomized (1:1) to receive induction therapy consisting of daunorubicin (60 mg/m2 on days 1 to 3) and cytarabine (200 mg/m2 on days 1 to 7) with (n=135) or without (n=136) gemtuzumab ozogamicin 3 mg/m2 (up to maximum of one vial) on days 1, 4, and 7. Using the per protocol definition of event-free survival (EFS), estimated median EFS was 17.3 months for patients receiving gemtuzumab ozogamicin vs. 9.5 months for those receiving chemotherapy alone, with hazard ratio of 0.56 (95% CI: 0.42, 0.76).

Gemtuzumab ozogamicin was evaluated in two clinical trials for use as a single agent. The first trial, AML-19, was a multicenter, randomized (1:1), open-label phase 3 study in 237 patients comparing gemtuzumab ozogamicin monotherapy to best supportive care (BSC). Eligible patients had newly-diagnosed AML and were 1) greater than 75 years of age or 2) 61 to 75 years of age with a WHO performance status greater than 2 or were unwilling to receive intensive chemotherapy. During induction, gemtuzumab ozogamicin 6 mg/m2 was given on day 1 and gemtuzumab ozogamicin 3 mg/m2 was given on day 8. Patients with no evidence of disease progression or significant toxicities after induction received continuation therapy as outpatients with up to 8 courses of treatment including gemtuzumab ozogamicin 2 mg/m2 on day 1, every 4 weeks. BSC included standard supportive care measures and hydroxyurea or other anti-metabolites for palliative purposes. Estimated median overall survival (OS) was 4.9 months for patients receiving gemtuzumab ozogamicin vs. 3.6 months for those receiving BSC, with hazard ratio of 0.69 (95% CI: 0.53, 0.90).

The second trial, MyloFrance-1, a phase 2, single-arm, open-label study, included 57 patients with CD33-positive AML in first relapse. Patients received a single course of gemtuzumab ozogamicin 3 mg/m2 on days 1, 4, and 7. Consolidation therapy consisted of cytarabine intravenously every 12 hours for 3 days. Fifteen (26%; 95% CI: 16% - 40%) patients achieved complete response (CR) following a single course of gemtuzumab ozogamicin. Median relapse-free survival, measured from the first documentation of CR to the date of relapse or death, was 11.6 months.

The label contains a box warning for hepatotoxicity. The most common adverse reactions (>15%) were hemorrhage, infection, fever, nausea, vomiting, constipation, headache, increased AST, increased ALT, rash, and mucositis. Serious adverse reactions associated with gemtuzumab ozogamicin are hepatotoxicity (including veno-occlusive disease), infusion-related reactions (including anaphylaxis), and hemorrhage.

This approval includes a lower recommended dose and schedule of gemtuzumab ozogamicin than what FDA approved previously in 2000, as well as a different patient population. Gemtuzumab ozogamicin was voluntarily withdrawn in 2010 after trials failed to confirm benefit and demonstrated safety concerns, including early mortality and VOD.

The full prescribing information is available at: https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761060lbl.pdf.

FDA previously granted orphan drug designation to gemtuzumab ozogamicin. A description of FDA expedited programs is in the Guidance for Industry: Expedited Programs for Serious Conditions-Drugs and Biologics, available at: http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm358301.pdf.

Healthcare professionals should report all serious adverse events suspected to be associated with the use of any medicine and device to FDA’s MedWatch Reporting System by completing a form online at http://www.fda.gov/medwatch/report.htm, by faxing (1-800-FDA-0178) or mailing the postage-paid address form provided online, or by telephone (1-800-FDA-1088).

Follow the Oncology Center of Excellence on Twitter @FDAOncology.

Check out recent approvals at the OCE’s new podcast, Drug Information Soundcast in Clinical Oncology (D.I.S.C.O.), available at www.fda.gov/DISCO.

Content current as of:

09/01/2017

Resources for Information | Approved Drugs
Drug Information Soundcast in Clinical Oncology (D.I.S.C.O.)
Approved Drug Products with Therapeutic Equivalence Evaluations (Orange Book) Short Description","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/approved-drugs/fda-approves-gemtuzumab-ozogamicin-cd33-positive-aml"
"5","NCT01177540","Pediatric Acute Myelogenous Leukemia (AML)",FALSE,NA,NA,NA,NA
"6","NCT01442714","Acute Myeloid Leukemia (AML)",FALSE,NA,NA,NA,NA
"7","NCT01546038","Acute Myeloid Leukemia",TRUE,NA,"FDA approved glasdegib (DAURISMO, Pfizer Labs) in combination with low-dose cytarabine (LDAC), for newly-diagnosed acute myeloid leukemia (AML) in patients who are 75 years old or older or who have comorbidities that preclude intensive induction chemotherapy. More Information. November 21, 2018","FDA approves glasdegib for AML in adults age 75 or older or who have comorbidities
Share
Tweet
Linkedin
Email
Print

On November 21, 2018, the Food and Drug Administration approved glasdegib (DAURISMO, Pfizer Labs) in combination with low-dose cytarabine (LDAC), for newly-diagnosed acute myeloid leukemia (AML) in patients who are 75 years old or older or who have comorbidities that preclude intensive induction chemotherapy.

Approval was based on a multicenter, open-label, randomized study (BRIGHT AML 1003, NCT01546038) that included 115 patients with newly-diagnosed AML who met at least one of the following criteria: a) age 75 years or older, b) severe cardiac disease, c) baseline Eastern Cooperative Oncology Group performance status of 2, or d) baseline serum creatinine >1.3 mg/dL. Patients were randomized 2:1 to receive glasdegib, 100 mg daily, with LDAC 20 mg subcutaneously twice daily on days 1 to 10 of a 28-day cycle (N=77) or LDAC alone (N=38) in 28-day cycles until disease progression or unacceptable toxicity.

Efficacy was established based on an improvement in overall survival (date of randomization to death from any cause). With a median follow-up of 20 months, median survival was 8.3 months (95% CI: 4.4, 12.2) for the glasdegib + LDAC arm and 4.3 months (95% CI: 1.9, 5.7) for the LDAC alone arm and HR of 0.46 (95% CI: 0.30, 0.71; p=0.0002). 

The most common adverse reactions occurring in ≥ 20% of patients were anemia, fatigue, hemorrhage, febrile neutropenia, musculoskeletal pain, nausea, edema, thrombocytopenia, dyspnea, decreased appetite, dysgeusia, mucositis, constipation, and rash.

The recommended glasdegib dose is 100 mg orally, once daily. DAURISMO has not been studied in patients with the comorbidities of severe renal impairment or moderate-to-severe hepatic impairment.

View full prescribing information for DAURISMO.

FDA granted this application priority review and orphan product designation. A description of FDA expedited programs is in the Guidance for Industry: Expedited Programs for Serious Conditions-Drugs and Biologics.

Healthcare professionals should report all serious adverse events suspected to be associated with the use of any medicine and device to FDA’s MedWatch Reporting System or by calling 1-800-FDA-1088.

Follow the Oncology Center of Excellence on Twitter @FDAOncology. 

Check out recent approvals at the OCE’s podcast, Drug Information Soundcast in Clinical Oncology (D.I.S.C.O.).

Content current as of:

12/14/2018

Regulated Product(s)
Drugs
Drugs
Regulatory Science Research and Education
Development & Approval Process | Drugs
Drug Safety and Availability
Emergency Preparedness | Drugs
Guidance, Compliance, & Regulatory Information
News & Events for Human Drugs
Resources for You | Drugs
Science and Research | Drugs","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/fda-approves-glasdegib-aml-adults-age-75-or-older-or-who-have-comorbidities"
"8","NCT01696084","High Risk Acute Myeloid Leukemia",TRUE,NA,"FDA granted regular approval to a liposome-encapsulated combination of daunorubicin and cytarabine (VYXEOS, Jazz Pharmaceuticals, Inc.) for the treatment of adults with newly-diagnosed therapy-related AML (t-AML) or AML with myelodysplasia-related changes (AML-MRC), two types of AML having a poor prognosis. More Information. August 3, 2017","FDA approves liposome-encapsulated combination of daunorubicin-cytarabine for adults with some types of poor prognosis AML
Share
Tweet
Linkedin
Email
Print

Listen to the FDA D.I.S.C.O. podcast about this approval.

On August 3, 2017, the U.S. Food and Drug Administration granted regular approval to a liposome-encapsulated combination of daunorubicin and cytarabine (VYXEOS, Jazz Pharmaceuticals, Inc.) for the treatment of adults with newly-diagnosed therapy-related AML (t-AML) or AML with myelodysplasia-related changes (AML-MRC), two types of AML having a poor prognosis.

This is the first FDA-approved treatment specifically for patients with t-AML or AML-MRC.

Approval was based on data from Study CLTR0310-301 (NCT01696084), a randomized (1:1), multicenter, open-label, active-controlled trial comparing Vyxeos to a standard combination of daunorubicin and cytarabine (7+3) in 309 patients 60-75 years of age with newly-diagnosed t-AML or AML-MRC. Vyxeos demonstrated an estimated median overall survival of 9.6 months compared with 5.9 months for the 7+3 control (hazard ratio 0.69; 95% CI: 0.52, 0.90; p=0.005).

The most common adverse reactions occurring in greater than 25% of patients treated with Vyxeos were hemorrhage events, febrile neutropenia, rash, edema, nausea, mucositis, diarrhea, constipation, musculoskeletal pain, fatigue, abdominal pain, dyspnea, headache, cough, decreased appetite, arrhythmia, pneumonia, bacteremia, chills, sleep disorders and vomiting.

Each Vyxeos vial contains 44 mg daunorubicin and 100 mg cytarabine encapsulated together in liposomes. The volume of reconstituted Vyxeos required for each dose is calculated based on the daunorubicin dose (mg/m2) using body surface area. Since Vyxeos is a fixed-dose combination, and dosing based on the daunorubicin component, the corresponding cytarabine dose is included and does not need to be calculated.

For the first induction cycle, the recommended dose of Vyxeos is (daunorubicin 44 mg/m2 and cytarabine 100 mg/m2) liposome via intravenous infusion over 90 minutes on days 1, 3, and 5. If needed, the same dose is administered on days 1 and 3 of second induction. The recommended dose for each cycle of consolidation therapy is (daunorubicin 29 mg/m2 and cytarabine 65 mg/m2) liposome via intravenous infusion over 90 minutes on days 1 and 3.

The prescribing information includes a boxed warning not to substitute Vyxeos with other daunorubicin- or cytarabine-containing products. Full prescribing information is available at: https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf 

FDA previously granted Breakthrough Therapy and Orphan Drug designations to the combination product for this indication, as well as priority review. FDA approval took place two months ahead of the goal date. A description of FDA expedited programs is in the Guidance for Industry: Expedited Programs for Serious Conditions-Drugs and Biologics, available at: http://www.fda.gov/downloads/drugs/guidancecomplianceregulatoryinformation/guidances/ucm358301.pdf.

Healthcare professionals should report all serious adverse events and medication errors suspected to be associated with the use of any medicine and device to FDA’s MedWatch Reporting System by completing a form online at http://www.fda.gov/medwatch/report.htm, by faxing (1-800-FDA-0178) or mailing the postage-paid address form provided online, or by telephone (1-800-FDA-1088).

Follow the Oncology Center of Excellence on Twitter@FDAOncology.

Check out recent approvals at the OCE’s new podcast, Drug Information Soundcast in Clinical Oncology (D.I.S.C.O.), available at www.fda.gov/DISCO.
 

Content current as of:

09/15/2017

Resources for Information | Approved Drugs
Drug Information Soundcast in Clinical Oncology (D.I.S.C.O.)
Approved Drug Products with Therapeutic Equivalence Evaluations (Orange Book) Short Description","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/approved-drugs/fda-approves-liposome-encapsulated-combination-daunorubicin-cytarabine-adults-some-types-poor"
"9","NCT01796470","Chronic Lymphocytic Leukemia",FALSE,NA,NA,NA,NA
"10","NCT01853228","Acute Myeloid Leukemia",FALSE,NA,NA,NA,NA
